J1,PO1,PD1,UTC_2021,UTC_1970,ToD,Google_DepTime,car_freeflow_TravelTime_sec,car_InTraffic_TravelTime_sec,car_distance_m,car_mode,car_status,PT_TravelTime_sec,PT_distance_m,PT_mode,PT_status,Walk_TravelTime_sec,Walk_distance_m,Walk_mode,Walk_status,Bicycle_TravelTime_sec,Bicycle_Distance_m,Bicycle_mode,Bicycle_status,gh_car_sec,gh_pt_sec,gh_foot_sec,gh_bike_sec
7480,FK102BH,FK102TY,3/23/21 10:00,1/1/70 0:00,10:00:00 AM,1616493600,370,360,3078,driving,OK,1052,3395,transit,OK,2361,3078,walking,OK,734,3078,bicycling,OK,286,2286,2543,676
7481,ML39ND,ML30BN,3/23/21 9:20,1/1/70 0:00,9:20:00 AM,1616491200,340,349,2585,driving,OK,1373,2805,transit,OK,1599,2192,walking,OK,501,2515,bicycling,OK,242,1199,1562,492
7482,DG64UB,DG64DZ,3/23/21 12:00,1/1/70 0:00,12:00:00 PM,1616500800,1027,1026,12646,driving,OK,0,0,transit,ZERO_RESULTS,9217,12646,walking,OK,2544,13181,bicycling,OK,691,8626,8652,2533
7483,DG20JL,DG130BL,3/23/21 13:00,1/1/70 0:00,1:00:00 PM,1616504400,3758,3867,73623,driving,OK,12995,87485,transit,OK,43904,59748,walking,OK,13488,70608,bicycling,OK,3029,10931,44527,14776
7484,KW148ER,KW172TG,3/23/21 12:00,1/1/70 0:00,12:00:00 PM,1616500800,6802,6822,57819,driving,OK,10144,69249,transit,OK,32013,53640,walking,OK,10402,56158,bicycling,OK,6744,11998,27177,12113
7485,EH459EF,EH458BU,3/23/21 14:20,1/1/70 0:00,2:20:00 PM,1616509200,201,212,1280,driving,OK,841,1097,transit,OK,841,1097,walking,OK,269,1114,bicycling,OK,144,862,862,245
7487,IV23TW,KW163HA,3/23/21 14:30,1/1/70 0:00,2:30:00 PM,1616509800,17458,17691,236911,driving,OK,73224,274133,transit,OK,143577,233411,walking,OK,64517,334914,bicycling,OK,17203,33940,150549,68193
12945,IV23TW,KW163HA,4/22/21 14:30,1/1/70 0:00,2:30:00 PM,1619105400,17386,17332,236814,driving,OK,72637,273428,transit,OK,143439,233315,walking,OK,64231,334209,bicycling,OK,17203,33940,150549,68193
13257,IV23TW,KW163HA,4/22/21 14:30,1/1/70 0:00,2:30:00 PM,1619105400,17386,17332,236814,driving,OK,72637,273428,transit,OK,143439,233315,walking,OK,64231,334209,bicycling,OK,17203,33940,150549,68193
7490,DG126BN,DG125LL,3/23/21 10:00,1/1/70 0:00,10:00:00 AM,1616493600,240,283,2391,driving,OK,1588,2752,transit,OK,1740,2289,walking,OK,506,2391,bicycling,OK,238,1572,1920,526
7491,G641TR,G12GF,3/23/21 11:30,1/1/70 0:00,11:30:00 AM,1616499000,1090,1130,7355,driving,OK,1333,6212,transit,OK,4979,6707,walking,OK,1212,6633,bicycling,OK,546,1839,4900,1409
7492,TD57LJ,TD12AG,3/23/21 11:00,1/1/70 0:00,11:00:00 AM,1616497200,1876,1932,28837,driving,OK,4402,32173,transit,OK,19720,26264,walking,OK,6867,31182,bicycling,OK,1491,4392,22006,6278
7493,KW151NG,KW151UA,3/23/21 15:00,1/1/70 0:00,3:00:00 PM,1616511600,255,265,2166,driving,OK,714,2725,transit,OK,1559,2004,walking,OK,618,2205,bicycling,OK,141,1328,1368,510
9617,KW151NG,KW151UA,4/12/21 18:00,1/1/70 0:00,6:00:00 PM,1618254000,274,269,2069,driving,OK,1489,1907,transit,OK,1489,1907,walking,OK,597,2111,bicycling,OK,141,1328,1368,510
7494,HS33AJ,HS12AF,3/23/21 8:30,1/1/70 0:00,8:30:00 AM,1616488200,2620,2573,52699,driving,OK,3769,52135,transit,OK,38631,52699,walking,OK,10482,52699,bicycling,OK,2351,3714,38569,10694
7495,HS29BJ,HS29DA,3/23/21 18:40,1/1/70 0:00,6:40:00 PM,1616524800,562,545,6872,driving,OK,1988,6912,transit,OK,4980,6782,walking,OK,1357,6782,bicycling,OK,314,3849,3881,1073
9520,HS29BJ,HS29DA,4/12/21 9:00,1/1/70 0:00,9:00:00 AM,1618221600,393,386,5533,driving,OK,1240,5532,transit,OK,3926,5376,walking,OK,1007,5376,bicycling,OK,314,3849,3881,1073
7497,AB217FY,AB243QG,3/23/21 7:00,1/1/70 0:00,7:00:00 AM,1616482800,675,648,7019,driving,OK,1744,7076,transit,OK,5138,6946,walking,OK,1309,7019,bicycling,OK,504,1554,5345,1464
7498,KA111JH,KA128AG,3/23/21 9:30,1/1/70 0:00,9:30:00 AM,1616491800,443,436,4201,driving,OK,1582,6233,transit,OK,2770,3586,walking,OK,964,4540,bicycling,OK,290,1474,2622,1065
7499,IV308GY,IV308GZ,3/23/21 12:00,1/1/70 0:00,12:00:00 PM,1616500800,172,171,896,driving,OK,659,896,transit,OK,659,896,walking,OK,171,896,bicycling,OK,15,93,93,25
7500,G775QN,G466JG,3/23/21 15:00,1/1/70 0:00,3:00:00 PM,1616511600,426,470,4074,driving,OK,832,4089,transit,OK,2821,4039,walking,OK,594,4058,bicycling,OK,284,934,3256,850
7501,EH268NP,EH268DF,3/23/21 16:15,1/1/70 0:00,4:15:00 PM,1616516100,260,259,1250,driving,OK,581,1715,transit,OK,991,1250,walking,OK,323,1250,bicycling,OK,132,712,718,273
7502,HS20BN,HS20BB,3/23/21 20:30,1/1/70 0:00,8:30:00 PM,1616531400,166,166,1353,driving,OK,963,1285,transit,OK,963,1285,walking,OK,287,1353,bicycling,OK,107,746,746,249
7503,KA182LL,KA181HZ,3/23/21 14:00,1/1/70 0:00,2:00:00 PM,1616508000,241,248,3192,driving,OK,2128,5343,transit,OK,2290,3192,walking,OK,611,3192,bicycling,OK,272,1310,3147,713
7504,G12DH,G21EH,3/23/21 18:00,1/1/70 0:00,6:00:00 PM,1616522400,616,580,2012,driving,OK,166,222,transit,OK,166,222,walking,OK,49,269,bicycling,OK,37,172,172,90
