PO1,PD1,distance(m),durations(s),asecnd(m),descent(m)
EH91AS,EH88PJ,2021-02-14T09:00:00.000+0000,2021-02-14T09:33:25.722+0000,None,None
G776AA,G467JN,2021-02-14T09:00:00.000+0000,2021-02-14T09:40:50.773+0000,None,None
