PO1,PD1,distance(m),durations(s),asecnd(m),descent(m)
AB107QF,AB107AY,1138.2,157.1,6.5,8.5
AB158TJ,AB107AY,10569.0,951.8,65.9,204.4
AB125AS,AB107AY,2282.7,313.3,5.3,42.8
AB106XA,AB107AY,3724.9,370.7,5.9,38.9
AB157RX,AB107AY,3322.4,405.2,3.6,69.7
AB155HH,AB107AY,3952.1,432.0,5.2,46.1
KA136SR,KA203DE,2959.0,400.4,18.3,6.5
KA136RE,KA203DE,2405.5,408.4,13.7,16.5
PH31NF,FK159LJ,8868.1,424.6,57.8,82.3
PH31NF,G639NZ,58296.1,2742.6,334.5,419.2
PH31NF,FK66BH,40756.7,1637.5,229.4,352.7
FK66BH,FK66BH,0,0,0,0
FK66BH,FK66BH,0,0,0,0
HS85SX,HS85SU,1487.2,103.0,1.2,6.2
KY129QH,KY113AT,13658.6,825.4,87.1,108.8
KY129QH,KY129PN,2809.3,271.4,35.6,25.3
FK101EG,KY129PN,13747.9,857.7,153.9,99.6
G14PE,EH497AD,54825.1,2647.9,408.8,366.4
EH24EL,EH497AD,27612.2,1941.6,125.6,136.8
EH24EL,EH497AD,27612.2,1941.6,125.6,136.8
EH24EL,EH497AD,27612.2,1941.6,125.6,136.8
EH24EL,EH497AD,27612.2,1941.6,125.6,136.8
EH24EL,EH497AD,27612.2,1941.6,125.6,136.8
EH24EL,EH497AD,27612.2,1941.6,125.6,136.8
EH24EL,EH497AD,27612.2,1941.6,125.6,136.8
G782PE,G782EU,675.9,128.9,1.7,7.6
PA27ST,PA26RW,1340.3,151.8,5.5,25.6
PA11WB,PA26RW,2075.9,232.2,24.9,6.1
PA27ST,PA27SD,525.2,105.3,4.6,0.1
EH166TX,KY63DT,63824.2,2817.2,562.6,563.3
FK101EG,FK101SB,1214.9,194.4,13.4,1.5
FK101EG,FK102EH,2711.1,351.9,26.9,3.8
FK136DS,FK102EH,9327.1,743.8,95.0,79.0
FK101EG,FK102BQ,1727.6,285.7,12.8,3.9
FK101EG,FK103BG,2682.3,394.7,43.9,6.0
FK101EG,FK136LL,5923.7,524.9,67.3,14.7
PA153EQ,PA145NG,7362.6,698.4,85.7,213.6
PA145SL,PA145NG,934.0,113.5,0.1,56.5
PA26AT,PA26AT,0,0,0,0
G329QD,PA26AT,23494.4,1479.2,95.8,91.9
PA28BF,PA26AT,2226.0,307.4,2.7,39.1
PA26AT,G329QD,23645.9,1547.2,99.1,101.7
PA27EN,G329QD,20942.4,1498.9,106.3,91.4
PA26AT,PA28BF,2226.0,307.4,39.7,2.6
G768QZ,G696AH,18413.6,1507.8,231.0,243.8
G717SE,G696AH,1911.2,177.5,33.3,5.5
G768QZ,G767BT,1512.7,223.9,15.0,2.7
G443BU,G767BT,3423.9,387.8,55.0,6.2
G768QZ,G767ND,2666.1,391.5,15.5,31.8
G767LS,G767ND,820.3,131.9,0.4,16.8
EH89QW,EH217JH,10887.2,1300.1,45.0,104.3
EH222PS,EH217JH,8287.9,766.9,76.0,104.3
IV305UE,IV305XY,2288.5,196.3,30.1,2.7
IV305UE,IV305XY,2288.5,196.3,30.1,2.7
IV305UE,IV305XY,2288.5,196.3,30.1,2.7
IV305RH,IV305XY,9468.2,863.2,53.3,25.6
PA151XX,PA191QD,4098.2,431.0,30.5,30.6
PA151XX,PA152TH,3133.0,390.2,24.4,15.5
PA151XX,PA151JW,729.3,88.3,0.1,9.6
PA160SA,PA151JW,4488.4,348.8,29.6,68.1
PA146HG,PA151JW,7761.5,732.8,37.1,147.4
PA146RA,PA151JW,6810.2,624.6,51.0,50.0
PA191DX,PA151JW,6089.4,706.1,59.7,118.8
PA191RS,PA151JW,3738.7,346.1,22.8,18.7
PA145RZ,PA151JW,6217.0,561.6,25.8,122.9
PA146JE,PA151JW,7826.1,813.3,35.0,155.1
G134TJ,G149RY,4610.8,433.5,14.4,20.2
ML36LB,G467QS,24232.1,1536.6,104.8,148.3
G821LF,G821EH,2446.1,255.8,8.2,5.1
G821LF,G823HB,2397.6,303.4,30.4,3.1
G758TB,G759FD,1804.1,233.7,8.7,15.2
G759DG,G759FD,1866.2,248.1,11.4,8.9
G758UE,G759FD,2057.6,246.5,13.2,8.8
EH39ES,EH128NQ,7437.0,908.5,17.9,59.3
FK81RE,FK81QD,585.5,123.1,0.9,0.3
EH496SQ,EH224FF,48913.3,2230.4,469.1,424.8
ML84AJ,EH224FF,74286.7,3231.2,583.9,675.4
ML38TX,ML30DF,4741.6,500.3,21.9,116.9
ML39HY,ML30DF,2211.1,338.3,10.8,20.3
ML38TX,G720TH,6105.5,660.6,21.8,125.1
PA29AB,PA49EJ,7663.9,734.1,14.7,40.9
PA29AB,G40SF,18318.2,1320.3,90.5,83.6
G642DS,G40SF,4760.5,479.5,23.9,55.3
PA48DW,G40SF,14819.7,980.7,79.2,48.3
PA86DR,G40SF,24425.1,1402.1,106.1,103.6
G848DF,G40SF,52303.9,2818.2,369.5,347.5
G715DT,G40SF,16097.5,957.9,86.3,117.9
DG54DD,G40SF,145928.5,6204.9,1134.2,1103.7
G311QF,G40SF,1871.9,182.1,22.2,17.3
G212NQ,G40SF,1179.8,163.5,0,18.3
AB453SX,AB556YA,43947.1,2263.2,424.5,263.2
PA11AA,PA169EN,29643.1,1570.7,232.8,186.3
PA11AA,PA169EN,29643.1,1570.7,232.8,186.3
PA11AA,PA169EN,29643.1,1570.7,232.8,186.3
PA11AA,PA12NY,3156.5,347.5,19.1,18.8
PA11AA,PA27PU,3787.9,477.4,39.1,19.7
PA11AA,DD38PP,142912.4,5878.2,981.2,894.9
PA11AA,PA33BY,6125.3,536.3,14.6,20.6
FK14RS,PA33BY,52311.7,2877.0,269.4,324.5
PA11AA,PA40DZ,4186.1,456.9,13.7,18.0
PA11AA,PA67LW,10868.3,753.4,39.8,36.1
PH336JN,PH336HJ,1505.8,195.1,38.0,27.6
G830LZ,G630HG,14960.5,1143.4,122.1,91.6
G630HG,G630HG,0,0,0,0
G630HG,G630HG,0,0,0,0
G630HG,G630HG,0,0,0,0
G830LZ,G824LN,3215.6,356.6,12.2,17.2
G830LZ,G839EG,1374.5,185.1,8.9,9.3
AB238AT,AB159JR,11528.9,1203.5,166.9,114.9
ML92AR,ML91EQ,1115.2,138.1,7.7,0.2
ML30RQ,ML91EQ,11984.8,787.9,124.9,78.9
DD48LS,DD40TJ,2725.5,273.5,13.3,17.6
DD24WB,DD40TJ,11314.7,878.4,65.0,70.6
G25LD,PA238AR,53489.3,4321.7,345.6,363.6
G25LD,PA238AR,53489.3,4321.7,345.6,363.6
G25LD,PA238AR,53489.3,4321.7,345.6,363.6
G25LD,PA238AR,53489.3,4321.7,345.6,363.6
G25LD,PA238AR,53489.3,4321.7,345.6,363.6
G25LD,PA238AR,53489.3,4321.7,345.6,363.6
G25LD,PA238AR,53489.3,4321.7,345.6,363.6
PA237PE,PA238AR,959.1,103.0,1.9,19.4
G25LD,G626DS,12395.5,1014.8,126.7,83.5
G25LD,G626DS,12395.5,1014.8,126.7,83.5
G25LD,G626DS,12395.5,1014.8,126.7,83.5
G314TB,G315LA,1391.6,176.6,6.8,9.9
G314EB,G315LA,1456.6,214.9,8.5,9.3
EH66LU,EH87RH,5984.9,676.2,27.8,15.7
G514JT,G120AX,4073.6,458.1,28.1,4.9
G514JT,G522DA,2523.9,240.9,10.0,1.8
EH268NP,EH269BB,1168.5,194.0,20.2,0.2
EH268NP,EH269HH,1953.4,202.3,45.4,0.1
EH268NP,EH268DF,1360.1,174.1,24.2,0.8
EH76RG,EH12NF,5361.1,736.4,109.4,28.9
PA145YG,PA58EG,16941.0,1305.0,116.9,226.4
FK20PX,FK20AL,2945.3,345.8,78.2,22.8
FK20AN,FK20AL,1024.9,153.7,8.7,17.5
FK20PX,FK20YT,1256.5,152.2,23.0,0.3
FK94TG,FK79JP,6918.6,725.7,43.6,18.0
FK94TG,FK94ET,1080.3,133.3,4.4,3.7
FK94BS,FK94ET,615.7,84.3,2.8,1.7
FK94QE,FK94ET,715.7,118.3,1.6,27.1
FK94PA,FK94ET,419.2,76.6,3.2,0.2
FK94HF,FK94ET,412.7,37.9,1.1,0.7
EH209BY,EH76DX,15800.6,1277.0,68.8,194.0
EH209BY,EH193GA,10880.0,741.0,49.1,126.2
EH209NE,EH193GA,10790.0,718.3,55.4,125.0
EH209BY,DD15LJ,111104.5,4575.2,784.0,893.2
EH209BY,EH221BL,8480.0,599.3,35.8,131.4
EH223ND,EH221BL,2598.2,265.2,4.9,19.8
EH209BY,EH467DG,28728.3,1659.4,260.4,204.6
EH209BY,EH192AW,7095.7,642.0,52.6,103.4
EH209BY,EH546LQ,30121.3,1434.5,217.8,262.3
EH209BY,EH209AX,2239.5,289.9,6.4,12.8
EH209BY,EH299AR,23593.5,1369.7,148.7,249.7
EH479EB,EH479EB,0,0,0,0
EH299DZ,EH479EB,30049.2,1491.9,291.3,96.3
EH479EB,EH477QT,8856.2,500.8,17.3,97.2
AB425NW,AB420NW,22486.4,1622.1,133.4,217.8
AB425NW,AB425NW,0,0,0,0
AB217DU,AB425NW,49473.2,2333.5,413.4,373.4
G630NR,G630NR,0,0,0,0
G630NR,G630NR,0,0,0,0
FK82QL,G630NR,30147.2,1634.9,179.7,115.6
EH111AN,EH164SB,8684.5,1082.4,83.7,84.4
EH164UF,EH164SB,3505.5,511.2,36.1,31.0
G741NN,G742BS,2286.5,317.3,10.7,20.1
DD54RJ,DD77NJ,6296.5,532.2,5.6,40.9
FK94NB,FK81JU,5679.5,582.7,33.0,36.0
G200DD,FK81JU,48782.3,2605.5,360.5,367.3
FK38YQ,EH497LY,16401.0,801.0,203.6,146.1
EH394AE,EH394JU,1032.5,130.1,8.8,8.0
EH394HP,EH394JU,263.1,56.3,3.9,0.1
EH394AE,EH394PU,936.0,121.6,19.9,0.1
EH394AE,EH394DX,1400.4,201.4,30.5,0.6
ML20DP,ML20GA,803.7,147.5,0.9,4.2
ML20DP,ML85TL,10451.1,907.2,122.2,36.4
ML117AG,ML85TL,8619.2,632.5,93.1,103.9
ML20DP,ML85HB,8611.4,860.6,185.5,99.2
ML20DP,ML119SZ,21156.8,1691.6,252.8,156.1
ML118AG,ML119SZ,16567.0,986.7,92.3,169.5
ML20DP,ML41JL,10000.1,963.8,60.7,82.9
EH288AU,EH113EW,8319.2,688.6,41.7,23.2
EH22AN,G823PZ,105843.3,5259.5,641.1,659.8
EH22AN,G823PZ,105843.3,5259.5,641.1,659.8
EH22AN,G823PZ,105843.3,5259.5,641.1,659.8
EH22AN,EH126AN,4094.8,636.2,36.6,56.7
EH22AN,KA184AB,109572.7,5937.2,1064.1,942.5
EH22AN,KA184AB,109572.7,5937.2,1064.1,942.5
EH22AN,KA184AB,109572.7,5937.2,1064.1,942.5
EH22AN,EH549HG,32443.7,2412.1,288.9,189.8
EH22AN,EH549HG,32443.7,2412.1,288.9,189.8
EH22AN,EH549HG,32443.7,2412.1,288.9,189.8
EH22AN,EH482JP,38875.6,2370.3,315.7,196.2
EH22AN,EH482JP,38875.6,2370.3,315.7,196.2
EH22AN,EH482JP,38875.6,2370.3,315.7,196.2
EH22AN,EH44QB,6579.0,910.7,48.8,71.7
EH22AN,EH44QB,6579.0,910.7,48.8,71.7
EH22AN,EH421TW,45457.0,2407.9,253.4,311.6
EH421QU,EH421TW,15139.9,964.8,84.6,88.8
EH421XF,EH421TW,1404.4,167.6,5.1,0.7
EH22AN,EH421NQ,46800.2,2517.0,270.5,317.0
EH421EW,EH421NQ,1091.1,107.5,6.7,10.8
EH421HB,EH421NQ,1546.5,192.6,12.6,10.5
EH421QZ,EH421NQ,3168.4,426.4,24.5,17.1
EH22AN,EH546RG,28024.7,2061.6,225.5,157.4
ML69DG,EH546RG,35656.4,1737.9,244.8,234.8
EH22AN,EH209PD,10076.9,1208.8,152.5,61.4
EH209PW,EH209PD,1978.7,328.6,14.0,6.9
EH209NY,EH209PD,1057.0,189.8,8.7,6.2
EH22AN,PA168RF,115033.0,5809.7,769.6,751.0
EH22AN,PA168RF,115033.0,5809.7,769.6,751.0
EH22AN,EH217TQ,11014.6,1257.5,60.9,105.3
EH22AN,EH225DP,14915.7,1564.9,226.9,153.3
EH22AN,EH125QS,4897.0,761.8,37.2,61.7
EH22AN,EH145BT,9191.8,1162.1,113.7,52.8
EH22AN,EH65AZ,3269.1,497.9,19.6,72.8
EH22AN,EH104EA,3218.4,509.9,60.5,24.3
EH22AN,EH87RZ,3754.3,514.1,19.7,56.7
EH153AR,EH87RZ,3727.7,437.6,10.2,14.7
EH22AN,EH127PQ,8683.0,1210.2,45.5,66.0
EH22AN,EH403EL,37050.1,2134.5,208.6,242.6
EH403DT,EH403EL,3436.9,357.3,21.4,20.6
EH22AN,G627NL,85978.9,4629.6,607.9,597.8
EH22AN,G627NL,85978.9,4629.6,607.9,597.8
EH22AN,EH525DE,27394.6,2021.5,212.4,180.0
EH22AN,FK79HE,61000.7,3372.6,363.8,386.5
KY25BD,KY25QG,2331.4,279.2,42.6,13.2
ML68XW,ML68SY,825.8,138.7,4.2,11.8
ML68XW,ML68SY,825.8,138.7,4.2,11.8
G734AL,G734HP,678.8,112.4,0.1,23.1
G734AL,G742HA,9354.1,846.8,128.1,71.5
G782DT,G781FA,638.6,93.1,2.2,10.3
G781QT,G781FA,837.6,124.6,3.8,13.9
G537PS,G781FA,4108.5,481.3,35.2,31.7
G783HJ,G781FA,3087.1,291.1,1.5,95.2
G782JA,G781FA,1141.3,239.1,4.0,21.2
G782BZ,G781FA,875.6,159.9,6.8,8.4
G782DT,G420AE,11531.2,1022.2,81.7,118.5
G445HU,G420AE,2846.3,380.2,6.0,48.1
G58BN,G420AE,4461.4,415.6,17.6,9.3
G444LX,G420AE,1870.3,307.1,10.5,33.4
G450NN,G420AE,4476.7,476.8,16.7,97.0
AB124YA,AB514TU,42335.6,1865.7,459.8,481.0
AB124YA,AB228FL,18441.8,1543.6,199.8,208.6
KA74QJ,KA74TN,1781.2,191.3,15.1,7.0
KY74AE,KY76DB,4664.9,420.8,37.8,65.4
KY76DA,KY76DB,84.4,12.1,0.4,0
G717BN,ML38TY,14781.5,1027.9,191.1,44.5
AB417JL,AB515SS,36529.1,2257.6,332.5,401.9
PA318RJ,PA318RH,4401.7,314.7,54.5,39.5
EH125RX,EH217AA,25917.8,1503.0,163.7,203.4
KY30BS,KY39AQ,774.7,126.0,6.1,3.8
G744QX,G744SE,3135.9,386.0,26.8,29.1
G744QX,G744TE,3612.3,403.4,24.3,22.7
G744TE,G744TE,0,0,0,0
G744TE,G744TE,0,0,0,0
G744US,G744TE,604.0,107.7,2.3,5.7
EH39SR,EH106QY,5688.8,847.7,111.3,30.4
EH39SR,EH39LF,1090.0,206.8,7.4,5.8
KA91TW,KA74RJ,5830.1,622.0,17.2,19.2
KA91TW,KA91PP,1689.6,183.4,2.1,7.5
KA91TW,KA91BU,2672.3,301.6,7.0,8.9
KA91TW,KA74RP,8957.4,621.0,68.2,57.9
KA91TW,KA89DX,510.0,75.3,0.6,1.8
KW151RW,KW151NA,2340.7,211.1,40.7,35.3
KW151RW,KW172RB,11567.1,593.1,126.8,98.9
KW151RW,KW172RB,11567.1,593.1,126.8,98.9
KW163JY,KW172RB,11554.6,785.8,176.0,133.7
KW151RW,KW151NZ,592.9,75.3,0.4,13.0
KW151TE,KW151NZ,3422.9,353.3,13.6,11.2
KW172ER,KW151NZ,12468.6,964.4,103.2,140.7
DD25RG,KY75QF,47954.1,2709.4,313.5,379.4
KY62LP,KY75QF,3762.2,512.3,0.5,57.9
DD25RG,DD30QJ,1688.4,141.2,4.7,37.4
AB436HT,DD30QJ,185003.8,7484.7,1599.1,1559.4
DD25RG,DD25QZ,614.6,110.6,2.0,6.6
DD30QG,DD25QZ,2993.4,394.7,25.7,30.7
DD39SE,DD25QZ,5410.2,518.8,63.2,83.8
DD25RG,PH128UT,7778.7,477.7,107.4,63.3
DD112DR,PH128UT,39678.8,2195.1,367.0,199.4
ML69HD,ML53PL,4137.4,467.9,14.7,60.2
ML53SQ,ML53PL,741.7,156.7,1.1,3.5
IV25FR,IV25FR,0,0,0,0
IV25FR,IV25FR,0,0,0,0
IV25FR,IV25FR,0,0,0,0
IV25FR,IV25FR,0,0,0,0
IV23TW,IV25FR,4075.9,389.8,70.9,28.0
IV25FR,IV23TW,4003.9,369.2,27.5,72.3
IV25BP,IV23TW,5117.0,411.5,12.1,115.2
IV124HP,IV23TW,25504.7,1377.1,117.1,99.7
IV23UJ,IV23TW,1396.6,198.9,5.9,2.0
IV27NZ,IV23TW,6185.6,532.9,83.6,74.0
IV23RG,IV23TW,1383.3,172.1,5.8,2.5
IV25HZ,IV23TW,1228.9,141.5,5.0,27.4
IV24GX,IV23TW,4789.5,458.9,16.8,27.9
IV11NH,IV23TW,6166.8,491.2,39.4,14.5
IV23SU,IV23TW,2333.1,652.1,9.4,10.9
KW163HA,IV23TW,272192.8,16978.9,2219.4,2200.5
G830UA,G825LH,9034.5,828.3,150.5,179.9
KA12SJ,KA11TT,3141.5,302.0,11.1,18.8
KA14AG,KA11TT,1854.3,195.9,4.9,6.0
KA11UG,KA11TT,418.0,64.7,0,1.3
KA11UA,KA11TT,452.9,58.6,0,1.1
KY26RL,KY26RR,753.2,114.4,9.7,4.0
FK81RA,FK82RJ,2175.4,230.0,46.0,30.4
FK82NQ,FK82RJ,1423.6,149.4,4.5,12.1
FK81RA,FK70BD,3662.7,358.3,34.0,13.8
FK81RA,FK79PN,4330.9,408.9,46.3,41.5
FK81RA,FK79LU,3875.5,421.1,58.8,34.5
FK79JT,FK79LU,860.2,102.3,1.7,4.7
FK81RA,FK125JT,12743.8,855.6,86.8,61.7
FK101LJ,FK125JT,6003.5,517.6,80.4,56.9
FK81RA,FK82HY,2855.4,292.5,49.5,34.0
FK81RA,FK70HY,5281.8,499.8,45.3,14.5
FK81EW,FK70HY,5536.8,508.4,45.9,39.8
FK81RA,FK82QW,2940.0,316.3,52.7,34.0
FK82RF,FK82QW,798.5,97.0,6.7,3.6
FK81QZ,FK82QW,2154.2,299.0,24.5,5.5
FK81RA,FK81SY,1556.9,176.1,29.0,31.3
FK81RA,FK77QW,3295.0,356.1,11.9,11.3
AB210PX,AB210PH,3666.6,293.6,21.6,33.6
ZE29GJ,ZE10AF,15149.4,1019.6,312.4,334.9
ZE10LZ,ZE10AF,1184.7,158.8,4.6,5.6
TD86AN,TD13RF,24447.7,1450.7,267.7,248.5
KA11TJ,KA216DR,24134.5,1198.7,120.9,129.3
G671JW,G659HQ,7451.0,644.2,49.0,110.7
G671JW,G650LN,8589.3,750.2,52.3,139.2
G671JW,G674EN,2812.3,316.2,1.9,54.5
G671JW,G674EN,2812.3,316.2,1.9,54.5
G671JW,G674EN,2812.3,316.2,1.9,54.5
G671JG,G674EN,1946.0,258.5,7.5,49.1
G671JW,FK20XA,27810.1,1211.3,186.4,270.6
G671JW,G466AH,31716.2,1820.5,136.7,245.2
G671JW,G680BF,4257.6,411.5,68.5,59.0
G671JW,G680BF,4257.6,411.5,68.5,59.0
G671JW,G665LR,15303.0,862.8,84.9,166.6
G671JW,G699FR,12349.4,892.1,76.0,126.0
G641RP,G699FR,10827.3,920.4,71.0,59.3
G671JW,G680FR,4099.4,397.5,23.0,63.3
G671JW,EH519EX,33692.2,1563.5,248.4,327.0
G671JW,FK41GF,10931.2,749.4,55.8,161.8
G671JW,G680BT,4259.9,423.4,63.1,77.3
G729DX,ML39LD,4647.2,438.5,40.9,19.1
AB245PG,AB140UQ,16511.6,1273.9,127.6,111.7
AB107AY,AB125AS,2573.9,341.6,43.2,6.6
AB107AY,AB106XA,3160.8,366.7,40.7,5.6
AB107AY,AB158TJ,9304.0,941.1,168.6,29.2
AB107AY,AB155HH,4011.2,445.2,47.5,5.2
AB107AY,AB107PU,1669.8,232.0,32.5,3.7
AB107AY,AB107QF,1196.8,167.5,9.2,5.6
AB107AY,AB157RX,3313.4,399.8,71.1,4.2
FK102UZ,FK102PH,3389.9,215.4,1.6,28.0
FK104JQ,FK102PH,10257.9,722.2,71.2,92.6
EH141PQ,EH114SP,3102.2,425.8,15.4,10.6
KY129DF,KY113AY,2178.3,281.3,8.3,58.1
EH46HZ,KY113AY,21521.0,1379.4,215.4,190.3
KY114DH,KY113AY,1455.3,187.3,5.0,19.5
G211YL,G213AS,2846.7,373.3,42.3,10.1
G211YL,G214AR,1106.9,136.4,13.1,8.0
G211YL,G226QG,4482.8,458.9,34.8,26.9
PA151JW,PA146HG,8095.6,777.3,146.9,38.6
PA151JW,PA191DX,6489.2,726.9,121.4,60.2
PA151JW,PA191DX,6489.2,726.9,121.4,60.2
PA191DX,PA191DX,0,0,0,0
PA191DX,PA191DX,0,0,0,0
PA151JW,PA191RS,3950.7,381.9,19.4,23.6
PA160GJ,PA191RS,12034.5,924.8,144.2,186.1
PA151JW,PA145RZ,6510.7,601.6,117.5,26.3
PA151JW,PA146JE,8252.4,863.9,157.6,39.1
PA151JW,PA160SA,4876.9,368.5,68.1,27.4
PA151JW,PA146RA,7034.4,672.2,43.0,39.1
PA151QL,PA146RA,6538.2,655.1,45.3,46.6
EH24NA,EH403AE,38147.4,2304.1,212.1,251.9
EH24NA,EH403AE,38147.4,2304.1,212.1,251.9
G745QD,G745QB,1508.7,196.9,10.7,17.0
G745QD,G768LS,7248.8,709.5,42.4,117.8
G116BB,G140EB,4279.9,478.3,12.7,10.7
G116BB,G140EB,4279.9,478.3,12.7,10.7
G116BB,G140EB,4279.9,478.3,12.7,10.7
G116BB,G140EB,4279.9,478.3,12.7,10.7
G116BB,G140EB,4279.9,478.3,12.7,10.7
G116BB,G115AY,796.6,188.2,7.0,0.1
G116BB,G511LS,4697.8,520.8,23.6,22.6
G116BB,G116QL,561.3,161.1,1.9,3.3
G116BB,G116QD,835.5,117.7,1.1,3.0
G116BB,G38SB,1648.2,188.6,18.3,1.4
G38SB,G38SB,0,0,0,0
G116BB,G117UB,839.8,108.8,3.0,4.8
G116BB,G115AD,990.4,210.2,25.0,1.9
G129NJ,G115AD,988.0,221.0,3.3,11.9
G129NJ,G115AD,988.0,221.0,3.3,11.9
FK38XP,EH519RS,12628.9,737.8,161.7,86.1
EH510PJ,EH519RS,2274.8,198.2,39.7,13.0
G672AJ,G672AJ,0,0,0,0
G672AJ,G672AJ,0,0,0,0
G672AJ,G672AJ,0,0,0,0
G689EB,G672AJ,8560.3,623.5,120.4,67.0
ML84LN,G672AJ,43499.9,2108.3,316.6,399.1
G671QP,G672AJ,1708.7,204.1,8.2,20.1
G672AJ,G689EB,8458.9,633.0,66.1,115.1
G672AJ,G671QP,1462.1,191.3,18.9,4.0
G672AJ,ML84LN,43175.2,2085.1,387.1,302.4
ML84NG,ML84LN,166.1,26.1,1.1,0.3
ML85DW,ML84LN,2385.8,277.4,36.6,21.8
ML20PH,ML27US,3853.3,535.4,3.7,40.0
EH66NY,EH38BW,5819.7,882.8,92.3,20.6
G23QA,ML51AB,15297.8,956.2,91.7,53.5
G23QA,ML51AB,15297.8,956.2,91.7,53.5
G23QA,ML51AB,15297.8,956.2,91.7,53.5
G23QA,ML51AB,15297.8,956.2,91.7,53.5
G23QA,ML51AB,15297.8,956.2,91.7,53.5
G741NQ,G741NQ,0,0,0,0
G741NQ,G741NQ,0,0,0,0
EH546QP,EH546GF,3279.8,467.5,42.3,16.1
EH546RY,EH546GF,698.6,106.3,3.9,0.5
EH546QP,ML126EG,36950.1,2017.2,422.5,312.4
EH546QP,EH545AG,2106.1,337.4,16.5,17.6
EH546QP,EH546PJ,2048.7,311.1,34.2,4.0
EH558AB,EH546PJ,4825.9,471.3,14.5,46.4
EH546QP,EH470JJ,11811.0,886.1,92.0,39.6
EH546QP,EH546JP,2026.1,277.5,22.4,10.6
EH546QP,EH525SQ,7981.4,798.8,64.6,85.1
EH546QP,EH546PG,2367.0,334.9,37.3,5.0
EH546QP,EH482JZ,10744.0,887.5,82.4,45.4
EH548SE,EH482JZ,7430.9,493.5,38.6,32.0
EH546GA,EH482JZ,10404.0,826.7,75.6,43.0
EH546QP,EH547DT,1478.6,237.4,11.1,5.3
EH546QP,EH482FN,15527.4,1107.9,117.8,59.5
EH546QP,EH526BY,7666.7,795.3,65.1,63.9
EH546QP,EH478NT,13202.8,1024.4,111.3,39.4
EH477LQ,EH478NT,4491.9,451.5,38.8,11.6
EH546QP,EH530TE,2627.1,404.3,18.2,19.4
EH548PT,EH530TE,4954.1,664.8,26.3,69.8
G733RJ,G734LS,1069.9,115.1,9.3,1.2
G733RJ,G735HJ,1698.8,227.1,51.5,2.3
G735HX,G735HJ,256.2,61.5,4.9,0.1
G735HX,G735HJ,256.2,61.5,4.9,0.1
G733RJ,G727AH,1100.8,107.0,7.1,8.4
G429LF,G727AH,6141.5,555.8,63.2,52.5
G716PL,G715BN,1971.9,235.6,2.4,12.7
AB241XB,AB423AQ,44295.9,1975.3,298.8,283.2
AB241XB,AB167QA,5940.2,661.4,117.2,26.5
PA29AS,G812RR,19557.2,1273.3,111.4,125.6
PA29AS,G812RR,19557.2,1273.3,111.4,125.6
G823BJ,G812RR,14167.2,1042.5,117.3,128.6
IV363XT,IV363YJ,5733.1,476.6,17.8,19.6
G522TF,G120SS,7529.7,864.1,62.0,52.4
G522TF,G524JR,3187.7,349.0,9.6,23.7
G523JU,G524JR,2768.4,321.0,9.3,15.7
G522TF,G522TF,0,0,0,0
G522TF,G522TF,0,0,0,0
G524JR,G522TF,3226.8,351.5,21.9,8.7
G120SS,G522TF,7759.5,861.8,56.1,60.9
KY75HR,KY11SH,12258.1,917.2,57.8,133.6
KY75HR,KY11SH,12258.1,917.2,57.8,133.6
KY75HR,KY11SH,12258.1,917.2,57.8,133.6
KY75HR,KY11SH,12258.1,917.2,57.8,133.6
KY75HR,KY11SH,12258.1,917.2,57.8,133.6
PA27PU,PA11AA,3161.7,388.2,18.7,39.2
PA12NY,PA11AA,3240.2,356.5,19.2,22.0
PA40DZ,PA11AA,3881.9,415.4,16.2,13.4
PA33BY,PA11AA,6144.3,579.8,19.6,17.5
KY130PT,PA11AA,74950.9,3547.0,419.1,535.4
PA169EN,PA11AA,30019.4,1686.3,166.3,219.7
DD38PP,PA11AA,142574.6,5846.5,895.7,983.9
PA67LW,PA11AA,10969.0,792.3,35.8,43.2
G775AQ,PA11AA,13184.4,1175.2,62.1,191.3
KY112NF,KY127BB,6685.9,511.6,116.9,29.5
KY112NF,KY13NQ,26031.5,1084.8,190.9,132.9
KY112NF,KY112QJ,389.6,57.1,5.1,0
EH35QF,EH47HG,6185.7,647.2,90.0,47.0
EH35QF,EH65DA,3101.3,412.8,14.1,26.1
FK102JG,FK102JS,552.0,132.5,6.2,4.0
FK101RQ,FK102JS,3372.3,389.2,22.4,11.2
FK102JG,FK102DH,417.6,100.2,4.7,0
EH36TT,DG109LH,84639.5,4896.2,1071.8,913.8
HS20QN,HS20QY,1339.8,108.7,13.7,6.2
HS20QN,HS20QY,1339.8,108.7,13.7,6.2
HS12PS,HS20QY,20016.1,1061.4,146.8,139.4
HS20QN,HS20QR,1484.0,243.9,0.2,9.2
EH482SS,EH478HN,6502.6,610.6,76.3,11.7
EH482SS,EH481ER,2400.3,263.7,17.7,4.0
EH481JB,EH481ER,1183.2,194.4,1.1,23.1
EH482SS,EH482DP,2384.0,352.9,18.2,12.1
EH484HH,EH482DP,2447.0,323.4,16.9,34.7
EH66AD,EH67PU,1858.9,313.9,13.6,7.2
EH64AU,EH67PU,2521.4,408.3,16.4,12.1
DD114TG,DD114RR,4357.3,268.1,32.6,32.2
DD83EP,DD114RR,17697.7,995.9,79.4,106.9
DD114XB,DD114RR,4612.2,288.9,32.7,32.0
KA92RW,KA73HW,11432.7,664.5,69.2,66.5
KA92RW,KA89JF,10785.4,788.8,55.2,61.9
