,PO1,PD1,origin_lat,origin_lng,destination_lat,destination_lng
6246,FK102LW,FK102LS,56.120317,-3.797203,56.120836,-3.79676
6247,AB392QD,AB392AL,56.965568,-2.207429,56.96698,-2.20899
6248,G28AH,ML110PJ,55.857336,-4.250538,55.553269,-3.846548
6249,G28AH,ML110PJ,55.857336,-4.250538,55.553269,-3.846548
6250,G28AH,ML110PJ,55.857336,-4.250538,55.553269,-3.846548
6251,G28AH,G11SS,55.857336,-4.250538,55.858653,-4.246617
6252,G28AH,G611NZ,55.857336,-4.250538,55.907069,-4.33684
6253,KA88LT,KA80JX,55.477432,-4.62412,55.468441,-4.605326
6254,KA88LT,KA88LG,55.477432,-4.62412,55.477558,-4.622451
6255,PA26XD,KA181DP,55.836761,-4.413993,55.454226,-4.267008
6256,AB219LG,AB217NG,57.175216,-2.168221,57.204415,-2.176128
6257,AB167GL,AB217NG,57.167191,-2.138631,57.204415,-2.176128
6258,ML118ED,ML84EA,55.762533,-3.693999,55.735599,-3.824617
6259,EH525GA,ML84EA,55.927267,-3.50327,55.735599,-3.824617
6260,ML67TE,ML52JE,55.913766,-3.94225,55.871291,-4.050993
6261,IV362TY,IV361HD,57.599334,-3.627155,57.606262,-3.626127
6262,IV362TY,IV301DJ,57.599334,-3.627155,57.648365,-3.318929
6263,AB123LE,AB238AR,57.115432,-2.078639,57.217948,-2.070537
6264,AB123LE,AB107LJ,57.115432,-2.078639,57.127264,-2.119371
6265,AB123LE,AB513YP,57.115432,-2.078639,57.277612,-2.383489
6266,TD74PU,TD74DD,55.549236,-2.821254,55.547967,-2.840076
6267,TD74LN,TD74DD,55.54915,-2.837863,55.547967,-2.840076
6268,G733AL,G340AJ,55.8268,-4.20448,55.864045,-4.102231
6269,FK38PR,FK38AN,56.009291,-3.730689,56.019464,-3.720347
6270,FK38PR,FK38PH,56.009291,-3.730689,56.007914,-3.730804
6271,FK38AN,FK38PH,56.019464,-3.720347,56.007914,-3.730804
6272,FK38PR,FK20XS,56.009291,-3.730689,55.995724,-3.721553
6273,EH165PL,EH87HN,55.929648,-3.165812,55.953057,-3.145471
6274,EH413UU,EH413UU,55.955542,-2.781759,55.955542,-2.781759
6275,EH394QY,EH413UU,56.054179,-2.721278,55.955542,-2.781759
6276,EH403EB,EH413UU,55.991464,-2.688354,55.955542,-2.781759
6277,EH413UU,EH394QY,55.955542,-2.781759,56.054179,-2.721278
6278,EH413UU,EH394QY,55.955542,-2.781759,56.054179,-2.721278
6279,EH128LP,EH394QY,55.941534,-3.304021,56.054179,-2.721278
6280,EH413UU,EH403EB,55.955542,-2.781759,55.991464,-2.688354
6281,EH403BQ,EH403EB,55.988145,-2.657792,55.991464,-2.688354
6282,KA71QJ,KA73XF,55.462,-4.631632,55.440536,-4.608008
6283,KA120UP,KA73XF,55.624824,-4.668816,55.440536,-4.608008
6284,KA73SN,KA73XF,55.44496,-4.61888,55.440536,-4.608008
6285,KA71QJ,KA91TZ,55.462,-4.631632,55.48467,-4.618602
6286,DG112JB,DG112EL,55.123213,-3.351939,55.115911,-3.363671
6287,G698AB,G698BE,55.887373,-4.081233,55.896561,-4.085851
6288,G698AB,G698BE,55.887373,-4.081233,55.896561,-4.085851
6289,IV306AN,IV306GD,57.643037,-3.289137,57.63828,-3.283357
6290,G131BQ,G132TG,55.896971,-4.32905,55.894537,-4.333896
6291,G131SJ,G132TG,55.885648,-4.331346,55.894537,-4.333896
6292,G133YL,G132TG,55.889873,-4.345961,55.894537,-4.333896
6293,G132UL,G132TG,55.890481,-4.333363,55.894537,-4.333896
6294,G131BH,G132TG,55.896793,-4.326592,55.894537,-4.333896
6295,G131BQ,G131BJ,55.896971,-4.32905,55.897799,-4.328028
6296,PA168HF,G131BJ,55.949098,-4.769878,55.897799,-4.328028
6297,G128QE,G116PS,55.873296,-4.288914,55.869492,-4.301062
6298,G128QE,G128LY,55.873296,-4.288914,55.873114,-4.284667
6299,TD69RB,TD12AG,55.59769,-2.712973,55.614658,-2.801268
6300,TD86PX,TD12AG,55.473429,-2.544893,55.614658,-2.801268
6301,TD11HQ,TD12AG,55.617393,-2.815693,55.614658,-2.801268
6302,TD12QG,TD12AG,55.611897,-2.763651,55.614658,-2.801268
6303,TD57LJ,TD12AG,55.604878,-2.43215,55.614658,-2.801268
6304,TD46EU,TD12AG,55.639946,-2.672182,55.614658,-2.801268
6305,DD108PW,DD108AN,56.711292,-2.456357,56.708097,-2.470137
6306,DD108EW,DD108AN,56.70916,-2.466785,56.708097,-2.470137
6307,EH482DP,EH484HH,55.895372,-3.661513,55.90445,-3.637235
6308,PA191QD,PA191NB,55.957042,-4.813579,55.961774,-4.818906
6309,PA175AJ,PA191NB,55.869771,-4.882883,55.961774,-4.818906
6310,PA191NA,PA191NB,55.961982,-4.819241,55.961774,-4.818906
6311,PA191NR,PA191NB,55.955664,-4.828988,55.961774,-4.818906
6312,G312RF,G37PH,55.860586,-4.217357,55.865964,-4.272518
6313,G149PF,G37PH,55.881452,-4.336035,55.865964,-4.272518
6314,G696GA,G37PH,55.860147,-4.113897,55.865964,-4.272518
6315,KA197SF,KA92AR,55.302277,-4.669351,55.486463,-4.6125
6316,DG46BL,DG46DH,55.36748,-3.923884,55.367068,-3.926805
6317,DG46AB,DG46DH,55.364882,-3.918204,55.367068,-3.926805
6318,PH106AB,PH106AS,56.592508,-3.338053,56.591442,-3.33756
6319,PH106AB,PH107JG,56.592508,-3.338053,56.646766,-3.407378
6320,G729AE,G720BS,55.796082,-4.089217,55.790459,-4.092729
6321,G661QF,G659SU,55.946196,-4.141086,55.949407,-4.087796
6322,EH394ED,EH394HJ,56.052678,-2.716723,56.058336,-2.717261
6323,EH395PE,EH394HJ,56.032795,-2.681868,56.058336,-2.717261
6324,PA13JY,PA13JX,55.843547,-4.394174,55.843386,-4.390442
6325,KA66QP,KA66JT,55.44223,-4.515998,55.446998,-4.495649
6326,EH39RB,EH22AU,55.942195,-3.205623,55.953458,-3.191255
6327,G432AT,G23AT,55.824507,-4.285776,55.864227,-4.254596
6328,G432AT,G413JW,55.824507,-4.285776,55.825417,-4.282779
6329,G432AT,G24JN,55.824507,-4.285776,55.864983,-4.268721
6330,G643EZ,G24JN,55.915273,-4.223423,55.864983,-4.268721
6331,EH39BN,G659AP,55.944372,-3.204843,55.978257,-4.073322
6332,EH39BN,G659AP,55.944372,-3.204843,55.978257,-4.073322
6333,EH39BN,G659AP,55.944372,-3.204843,55.978257,-4.073322
6334,DD77EJ,DD111LL,56.499473,-2.716326,56.562363,-2.585726
6335,DD115EH,DD111LL,56.570635,-2.572927,56.562363,-2.585726
6336,DD114AG,DD111LL,56.57327,-2.578175,56.562363,-2.585726
6337,DD111JP,DD111LL,56.561955,-2.584738,56.562363,-2.585726
6338,DD111EZ,DD111LL,56.563796,-2.581122,56.562363,-2.585726
6339,DD77EJ,DD25NE,56.499473,-2.716326,56.488398,-3.085114
6340,FK53LP,EH497AZ,56.018145,-3.81915,55.975989,-3.611314
6341,FK53LP,FK53JF,56.018145,-3.81915,56.02383,-3.824825
6342,PA296XE,PA286EH,55.598676,-5.684698,55.428344,-5.60101
6343,PH13TX,PH15GD,56.41372,-3.452817,56.397782,-3.431762
6344,PH29LP,PH15GD,56.328649,-3.322789,56.397782,-3.431762
6345,PH11EE,PH15GD,56.395329,-3.478525,56.397782,-3.431762
6346,G781RG,G781EB,55.799358,-4.396726,55.801587,-4.397661
6347,G781QS,G781EB,55.799791,-4.398524,55.801587,-4.397661
6348,KY74HZ,KY74HX,56.192469,-3.176044,56.193611,-3.177916
6349,EH403DW,EH403DJ,55.984492,-2.658804,55.983906,-2.660701
6350,EH458JE,EH458NA,55.652117,-3.196565,55.647896,-3.14735
6351,EH458JE,EH459HH,55.652117,-3.196565,55.638792,-3.190852
6352,KA106NG,KA107JH,55.544878,-4.649858,55.559185,-4.642543
6353,KA107EH,KA107JH,55.555044,-4.641087,55.559185,-4.642543
6354,IV304HL,IV301AT,57.659013,-3.312313,57.647413,-3.325516
6355,IV301NJ,IV301AT,57.643425,-3.314246,57.647413,-3.325516
6356,DG12BD,DG14PD,55.067129,-3.610194,55.066622,-3.576895
6357,FK28AU,FK28HL,56.029344,-3.783953,56.027667,-3.775643
6358,FK28AU,FK28HL,56.029344,-3.783953,56.027667,-3.775643
6359,AB561BA,AB555AA,57.677218,-2.961007,57.540509,-2.95019
6360,PA33FA,PA113HU,55.851111,-4.492118,55.848884,-4.588588
6361,ML37DZ,ML12SZ,55.774684,-4.033787,55.781479,-3.989499
6362,ML37DZ,ML74BT,55.774684,-4.033787,55.822528,-3.80632
6363,ML37DZ,G758UL,55.774684,-4.033787,55.745324,-4.213282
6364,ML37DZ,G717BF,55.774684,-4.033787,55.822968,-4.088328
6365,G209QY,G208PB,55.88844,-4.275349,55.880775,-4.284462
6366,G209QY,G209LR,55.88844,-4.275349,55.888515,-4.273706
6367,TD98DF,TD99HS,55.436898,-2.769845,55.423942,-2.785172
6368,EH329FF,EH329AZ,55.961614,-2.97149,55.958563,-2.987927
6369,AB355YL,AB355ZR,57.006266,-3.401681,57.006257,-3.397367
6370,AB355YL,DD81EW,57.006266,-3.401681,56.637257,-2.903474
6371,ZE29QJ,ZE29SN,60.386098,-1.345301,60.399227,-1.351317
6372,ZE29TY,ZE29SN,60.394418,-1.348949,60.399227,-1.351317
6373,EH76PX,EH151DW,55.958313,-3.137778,55.95671,-3.12191
6374,EH76PX,EH218DL,55.958313,-3.137778,55.941251,-3.019015
6375,FK27ZT,FK27ZT,56.020207,-3.756897,56.020207,-3.756897
6376,G445QQ,FK27ZT,55.815684,-4.232822,56.020207,-3.756897
6377,FK12BS,FK27ZT,55.975131,-3.760077,56.020207,-3.756897
6378,FK27ZT,G445QQ,56.020207,-3.756897,55.815684,-4.232822
6379,G431SB,G445QQ,55.824358,-4.295682,55.815684,-4.232822
6380,FK27ZT,FK12BS,56.020207,-3.756897,55.975131,-3.760077
6381,AB241XT,AB166UE,57.172525,-2.092726,57.154246,-2.157564
6382,IV316QD,IV316SR,57.723262,-3.283342,57.721403,-3.29382
6383,IV327LD,IV316SR,57.622832,-3.108581,57.721403,-3.29382
6384,FK83RA,FK150AY,56.183698,-4.284644,56.187882,-3.964001
6385,FK150AY,FK150AY,56.187882,-3.964001,56.187882,-3.964001
6386,FK159DB,FK150AY,56.184951,-3.971973,56.187882,-3.964001
6387,FK83RA,FK83LF,56.183698,-4.284644,56.184153,-4.233769
6388,FK83RA,FK83TW,56.183698,-4.284644,56.185825,-4.500227
6389,FK83RA,FK81DE,56.183698,-4.284644,56.120599,-3.942914
6390,G466XN,G466QR,55.805669,-4.294964,55.793484,-4.29337
6391,G776GW,G466QR,55.783207,-4.349241,55.793484,-4.29337
6392,G466XN,G775RN,55.805669,-4.294964,55.776662,-4.301375
6393,AB118LH,AB118TX,57.13756,-2.069243,57.134612,-2.071418
6394,PH336TA,PH337DR,56.8332,-5.075947,56.837588,-5.105645
6395,EH114DG,EH130ND,55.9257,-3.304432,55.911076,-3.262282
6396,EH114DG,EH130AF,55.9257,-3.304432,55.906769,-3.243107
6397,PA160RH,PA153LT,55.936915,-4.82461,55.938758,-4.741498
6398,KY50XR,KY118DY,56.173089,-3.241167,56.079337,-3.406977
6399,KY25TF,KY118DY,56.12178,-3.175398,56.079337,-3.406977
6400,KY50XR,KY62AL,56.173089,-3.241167,56.188863,-3.182008
6401,KY75TL,KY62AL,56.206651,-3.18133,56.188863,-3.182008
6402,KY50UQ,KY62AL,56.180938,-3.235347,56.188863,-3.182008
