"Address",Latitude,Longitude
"EH11 4",55.9253,-3.28284
"EH12 0",55.9497,-3.33238
"EH12 5",55.9441,-3.2363
"EH12 6",55.9466,-3.25568
"EH12 7",55.9384,-3.27963
"EH12 8",55.9466,-3.29389
"EH12 9",55.9342,-3.30008
"EH13 0",55.9078,-3.25514
"EH13 9",55.9095,-3.22846
"EH14 1",55.9262,-3.24223
"EH14 2",55.9205,-3.26897
"EH14 3",55.9124,-3.28063
"EH14 4",55.9181,-3.29767
"EH14 5",55.901,-3.30336
"EH14 6",55.8973,-3.29562
"EH14 7",55.8848,-3.33579
"EH15 1",55.951,-3.12076
"EH15 2",55.9486,-3.10108
"EH15 3",55.9405,-3.11603
"EH16 4",55.9303,-3.13061
"EH16 5",55.9295,-3.16195
"EH16 6",55.9117,-3.16194
"EH17 7",55.9133,-3.13789
"EH17 8",55.9016,-3.14735
"EH18 1",55.8766,-3.12172
"EH19 2",55.8757,-3.11038
"EH19 3",55.8707,-3.10196
"EH2 1",55.955,-3.19492
"EH2 2",55.9534,-3.19624
"EH2 3",55.9533,-3.20074
"EH2 4",55.9522,-3.20682
"EH20 9",55.8788,-3.15466
"EH21 6",55.9404,-3.06227
"EH21 7",55.9415,-3.04256
"EH21 8",55.9342,-3.03346
"EH22 1",55.903,-3.08502
"EH22 2",55.8941,-3.04473
"EH22 3",55.8866,-3.08084
"EH22 4",55.8717,-3.05993
"EH22 5",55.8724,-3.04026
"EH23 4",55.841,-3.0517
"EH24 9",55.851,-3.13536
"EH25 9",55.8591,-3.17802
"EH26 0",55.8421,-3.21811
"EH26 8",55.828,-3.21582
"EH26 9",55.8253,-3.24553
"EH27 8",55.8901,-3.42448
"EH28 8",55.929,-3.40137
"EH29 9",55.9569,-3.3956
"EH3 5",55.9626,-3.20006
"EH3 6",55.9573,-3.19693
"EH3 7",55.9508,-3.21127
"EH3 8",55.9478,-3.20705
"EH3 9",55.946,-3.20007
"EH30 9",55.9828,-3.37956
"EH31 2",56.0378,-2.82058
"EH32 0",55.9756,-2.92579
"EH32 9",55.9569,-2.97985
"EH33 1",55.9457,-2.93604
"EH33 2",55.938,-2.95283
"EH34 5",55.9105,-2.88557
"EH35 5",55.9114,-2.9448
"EH36 5",55.8554,-2.85429
"EH37 5",55.8634,-2.96625
"EH38 5",55.7848,-2.96122
"EH39 4",56.0566,-2.72374
"EH39 5",56.0372,-2.74406
"EH4 1",55.9593,-3.21947
"EH4 2",55.9614,-3.2401
"EH4 3",55.9555,-3.24062
"EH4 4",55.971,-3.25045
"EH4 5",55.9677,-3.26582
"EH4 6",55.9676,-3.2943
"EH4 7",55.9573,-3.28253
"EH4 8",55.9581,-3.30036
"EH40 3",55.9903,-2.65124
"EH41 3",55.9572,-2.78652
"EH41 4",55.9394,-2.76715
"EH42 1",55.9938,-2.52462
"EH43 6",55.6239,-3.01166
"EH44 6",55.621,-3.07047
"EH45 8",55.6609,-3.19663
"EH45 9",55.6435,-3.18077
"EH46 7",55.7344,-3.34326
"EH47 0",55.8661,-3.68779
"EH47 7",55.876,-3.61734
"EH47 8",55.8592,-3.66133
"EH47 9",55.8305,-3.70208
"EH48 1",55.8994,-3.62397
"EH48 2",55.8941,-3.65981
"EH48 3",55.8968,-3.71621
"EH48 4",55.9108,-3.64367
